number_of_times_occupied,number_of_unique_cars,amount
0,0,44
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
1,0,0
1,1,12
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
2,0,0
2,1,6
2,2,2
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
3,0,0
3,1,9
3,2,7
3,3,2
3,4,0
3,5,0
3,6,0
3,7,0
3,8,0
3,9,0
3,10,0
4,0,0
4,1,6
4,2,8
4,3,3
4,4,0
4,5,0
4,6,0
4,7,0
4,8,0
4,9,0
4,10,0
5,0,0
5,1,6
5,2,11
5,3,5
5,4,0
5,5,0
5,6,0
5,7,0
5,8,0
5,9,0
5,10,0
6,0,0
6,1,3
6,2,6
6,3,2
6,4,2
6,5,0
6,6,0
6,7,0
6,8,0
6,9,0
6,10,0
7,0,0
7,1,0
7,2,5
7,3,8
7,4,2
7,5,2
7,6,0
7,7,0
7,8,0
7,9,0
7,10,0
8,0,0
8,1,0
8,2,8
8,3,11
8,4,2
8,5,2
8,6,2
8,7,0
8,8,0
8,9,0
8,10,0
9,0,0
9,1,2
9,2,5
9,3,9
9,4,5
9,5,4
9,6,0
9,7,2
9,8,0
9,9,2
9,10,0
10,0,0
10,1,0
10,2,5
10,3,7
10,4,3
10,5,0
10,6,2
10,7,0
10,8,2
10,9,0
10,10,0
11,0,0
11,1,0
11,2,5
11,3,5
11,4,7
11,5,3
11,6,2
11,7,0
11,8,0
11,9,0
11,10,0
12,0,0
12,1,4
12,2,3
12,3,11
12,4,3
12,5,4
12,6,0
12,7,0
12,8,0
12,9,0
12,10,0
13,0,0
13,1,4
13,2,3
13,3,8
13,4,6
13,5,4
13,6,0
13,7,2
13,8,0
13,9,0
13,10,0
14,0,0
14,1,3
14,2,17
14,3,10
14,4,8
14,5,4
14,6,0
14,7,0
14,8,2
14,9,0
14,10,0
