spot,unique_cars
0,0.0
1,0.0
2,1.0
3,2.0
4,2.0
5,3.0
6,2.0
7,0.0
8,1.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,1.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,2.0
22,1.0
23,1.0
24,0.0
25,0.0
26,2.0
27,1.0
28,2.0
29,4.0
30,1.0
31,3.0
32,0.0
33,3.0
34,3.0
35,4.0
36,1.0
37,1.0
38,2.0
39,3.0
40,2.0
41,3.0
42,3.0
43,3.0
44,1.0
45,3.0
46,2.0
47,2.0
48,1.0
49,2.0
50,1.0
51,4.0
52,0.0
53,2.0
54,5.0
55,3.0
56,2.0
57,4.0
58,3.0
59,4.0
60,2.0
61,6.0
62,7.0
63,5.0
64,8.0
65,5.0
66,5.0
67,6.0
68,8.0
69,2.0
70,9.0
71,3.0
72,1.0
73,5.0
74,0.0
75,0.0
76,3.0
77,1.0
78,5.0
79,4.0
80,3.0
81,5.0
82,0.0
83,2.0
84,3.0
85,3.0
86,4.0
87,0.0
88,3.0
89,1.0
90,1.0
91,2.0
92,3.0
93,0.0
94,1.0
95,3.0
96,7.0
97,3.0
98,2.0
99,2.0
100,1.0
101,2.0
102,1.0
103,4.0
104,1.0
105,0.0
106,1.0
107,1.0
108,2.0
109,1.0
110,3.0
111,2.0
112,3.0
113,1.0
114,1.0
115,5.0
116,3.0
117,3.0
118,4.0
119,5.0
120,5.0
121,0.0
122,1.0
123,2.0
124,5.0
125,6.0
126,4.0
127,3.0
128,2.0
129,3.0
130,5.0
131,2.0
132,4.0
133,4.0
134,2.0
135,3.0
136,2.0
137,1.0
138,3.0
139,1.0
140,3.0
141,4.0
142,3.0
143,4.0
144,1.0
145,4.0
146,2.0
147,0.0
148,3.0
149,3.0
150,1.0
151,3.0
152,2.0
153,3.0
154,4.0
155,4.0
156,2.0
157,2.0
158,2.0
159,1.0
160,4.0
161,1.0
162,1.0
163,0.0
164,2.0
165,2.0
166,3.0
167,2.0
168,3.0
169,2.0
170,0.0
171,1.0
172,3.0
173,3.0
174,5.0
175,2.0
176,1.0
177,1.0
178,1.0
179,1.0
180,0.0
181,1.0
182,2.0
183,2.0
184,2.0
185,3.0
186,3.0
187,3.0
188,3.0
189,2.0
190,1.0
191,2.0
192,1.0
193,1.0
194,1.0
195,2.0
196,2.0
197,1.0
198,5.0
199,1.0
200,2.0
201,0.0
202,11.0
203,2.0
204,1.0
205,1.0
206,3.0
207,1.0
208,1.0
209,1.0
210,2.0
211,3.0
212,1.0
213,1.0
214,1.0
215,1.0
216,3.0
217,2.0
218,1.0
219,3.0
220,1.0
221,1.0
222,2.0
223,1.0
224,1.0
225,1.0
226,1.0
227,1.0
228,1.0
229,2.0
230,1.0
231,2.0
232,3.0
233,4.0
234,4.0
235,1.0
236,1.0
237,5.0
238,3.0
239,1.0
240,2.0
241,3.0
242,0.0
243,1.0
244,0.0
245,1.0
246,1.0
247,1.0
248,1.0
249,2.0
250,1.0
251,1.0
252,1.0
253,1.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,2.0
260,2.0
261,2.0
262,1.0
263,3.0
264,2.0
265,4.0
266,1.0
267,1.0
268,1.0
269,1.0
270,4.0
271,2.0
272,3.0
273,1.0
274,3.0
275,1.0
276,2.0
277,2.0
278,3.0
279,1.0
280,1.0
281,5.0
282,2.0
283,1.0
284,2.0
285,2.0
286,2.0
287,4.0
288,1.0
289,1.0
290,1.0
291,0.0
292,2.0
293,2.0
294,0.0
295,3.0
296,2.0
297,2.0
298,1.0
299,1.0
300,1.0
301,1.0
302,2.0
303,3.0
304,3.0
305,1.0
306,2.0
307,0.0
308,2.0
309,2.0
310,1.0
311,2.0
312,2.0
313,4.0
314,1.0
315,2.0
316,3.0
317,1.0
318,3.0
319,2.0
320,1.0
321,3.0
322,3.0
323,2.0
324,1.0
325,1.0
326,1.0
327,2.0
328,1.0
329,4.0
330,1.0
331,2.0
332,2.0
333,4.0
334,3.0
335,3.0
336,2.0
337,1.0
338,6.0
339,1.0
340,3.0
341,1.0
342,2.0
343,2.0
344,3.0
345,1.0
346,2.0
347,2.0
348,3.0
349,1.0
350,3.0
351,4.0
352,1.0
353,0.0
354,3.0
355,4.0
356,3.0
357,3.0
358,0.0
359,3.0
360,1.0
361,1.0
362,2.0
363,0.0
364,1.0
365,1.0
366,3.0
367,2.0
368,1.0
369,1.0
370,1.0
371,2.0
372,1.0
373,3.0
374,3.0
375,4.0
376,4.0
377,4.0
378,4.0
379,5.0
380,3.0
381,3.0
382,1.0
383,1.0
